id;provice_id;cityName
1;1;Bolesławiec
2;1;Gromadka
3;2;Nowogrodziec
4;2;Osiecznica
5;3;Warta Bolesławiecka
6;3;Jawor
7;4;Bolków
8;4;Męcinka
9;5;Mściwojów
10;5;Paszowice
11;6;Wądroże Wielkie
12;6;Karpacz
13;7;Kowary
14;7;Piechowice
15;8;Szklarska Poręba
16;8;Janowice Wielkie
17;9;Jeżów Sudecki
18;9;Mysłakowice
19;10;Podgórzyn
20;10;Stara Kamienica
21;11;Kamienna Góra
22;11;Lubawka
23;12;Marciszów
24;12;Lubań
25;13;Świeradów-Zdrój
26;13;Leśna
27;14;Olszyna
28;14;Platerówka
29;15;Siekierczyn
30;15;Gryfów Śląski
31;16;Lubomierz
32;16;Lublin